Date,Price,Open,High,Low,Vol.,Change %
Dec 05,90.960,91.500,92.330,89.490,103.29K,-0.60%
Jan 06,88.810,90.490,90.680,87.690,73.43K,-2.36%
Feb 06,90.080,88.830,90.940,88.750,94.66K,1.43%
Mar 06,89.390,90.020,91.180,88.450,125.30K,-0.77%
Apr 06,85.880,89.390,90.030,85.770,87.46K,-3.93%
May 06,84.650,85.690,86.100,83.410,84.03K,-1.43%
Jun 06,84.900,84.630,86.680,83.660,99.88K,0.30%
Jul 06,85.090,84.830,87.050,84.420,72.81K,0.22%
Aug 06,85.020,85.090,85.550,84.170,47.59K,-0.08%
Sep 06,85.680,84.990,86.140,84.560,74.68K,0.78%
Oct 06,85.110,85.720,87.080,84.980,80.30K,-0.67%
Nov 06,82.850,85.070,85.770,82.700,61.42K,-2.66%
Dec 06,83.430,82.810,84.190,82.180,65.07K,0.70%
Jan 07,84.430,83.190,85.250,82.900,56.48K,1.20%
Feb 07,83.500,84.480,85.090,83.320,67.22K,-1.10%
Mar 07,82.660,83.530,84.360,82.380,64.61K,-1.01%
Apr 07,81.300,82.640,82.970,81.100,44.40K,-1.65%
May 07,82.250,81.250,82.500,81.100,46.04K,1.17%
Jun 07,81.690,82.230,83.260,81.660,81.00K,-0.68%
Jul 07,80.660,81.655,81.680,79.870,85.25K,-1.26%
Aug 07,80.745,80.770,82.000,79.855,82.49K,0.11%
Sep 07,77.625,80.755,81.100,77.580,86.47K,-3.86%
Oct 07,76.460,77.670,78.800,76.430,55.74K,-1.50%
Nov 07,76.170,76.570,76.820,74.760,56.40K,-0.38%
Dec 07,76.700,76.100,77.860,75.615,51.55K,0.70%
Jan 08,75.285,76.740,77.500,74.660,69.47K,-1.84%
Feb 08,73.750,75.350,77.195,73.630,74.48K,-2.04%
Mar 08,72.165,73.650,74.000,70.805,139.77K,-2.15%
Apr 08,72.720,72.230,74.500,71.050,124.05K,0.77%
May 08,72.950,72.750,74.065,71.915,130.90K,0.32%
Jun 08,72.800,72.950,74.320,72.170,129.35K,-0.21%
Jul 08,73.420,72.750,73.735,71.555,115.95K,0.85%
Aug 08,77.500,73.425,77.710,73.365,141.47K,5.56%
